sheet_row,feature,status,confidence,evidence,sources,screenshot_url,screenshot_target,caveats
43,Udemy AI Assistant — content discovery chat,VERIFIED,high,"Official support FAQ and Personal Plan page: the AI Assistant ""personalizes and streamlines the learning process by recommending course content through guided conversations"", included with Personal Plan (and Business tiers).",https://support.udemy.com/hc/en-us/articles/27554582323863-Udemy-AI-Assistant-Frequently-Asked-Questions ; https://www.udemy.com/personal-plan/ ; https://support.udemy.com/hc/en-us/articles/27554487131671-How-to-Access-and-Use-the-Udemy-AI-Assistant,https://www.udemy.com/personal-plan/,AI Assistant,Only active in courses whose instructors joined Udemy's GenAI program.
44,Udemy AI Assistant — in-course Q&A,VERIFIED,high,"Official docs: in-course support with real-time answers to course-related questions, concept explanations, summaries, practice scenarios and code examples, grounded in the course.",https://support.udemy.com/hc/en-us/articles/27554582323863-Udemy-AI-Assistant-Frequently-Asked-Questions ; https://support.udemy.com/hc/en-us/articles/27943161256599-Udemy-AI-Assistant-Learner-Tips,https://support.udemy.com/hc/en-us/articles/27554582323863-Udemy-AI-Assistant-Frequently-Asked-Questions,AI Assistant,Availability limited to GenAI-program courses in supported languages.
45,AI Role Play,VERIFIED,high,"Official ""How to use the Role Play feature"" articles (consumer + Business): conversational practice with an AI character against meeting goals, ending with a strengths/improvements report; flagged on course landing pages under ""This course includes"".",https://support.udemy.com/hc/en-us/articles/31522529224343-How-to-use-the-Role-Play-feature ; https://business.udemy.com/blog/practicing-conversations-with-ai-how-udemy-built-role-play/,https://support.udemy.com/hc/en-us/articles/31522529224343-How-to-use-the-Role-Play-feature,Role Play,Enhanced/customizable version is an Enterprise add-on; consumer access rides on courses that include it.
46,Personalized recommendations,VERIFIED,high,"Official ""Personalize Your Learning Experience"" article: occupation-and-interests onboarding drives role/interest-based course recommendations on the home page; algorithm adapts to engagement behavior.",https://support.udemy.com/hc/en-us/articles/17015232224023-Personalize-Your-Learning-Experience-on-Udemy,https://support.udemy.com/hc/en-us/articles/17015232224023-Personalize-Your-Learning-Experience-on-Udemy,recommendations,
47,Career Accelerators,VERIFIED,high,"about.udemy.com launch post (""Reimagine your career with Career Accelerators"", launched with 6 programs) and live program pages (Full-Stack Web Developer, Software Engineer, Game Developer at udemy.com/career/...); community post says now 13 total.",https://about.udemy.com/udemy-news/reimagine-your-career-with-career-accelerators/ ; https://www.udemy.com/career/full-stack-web-developer/ ; https://community.udemy.com/en/discussion/160855/just-launched-7-new-career-accelerators-now-13-in-total,https://www.udemy.com/career/full-stack-web-developer/,Career Accelerator,Program count grows (6 at launch → 13); re-count when screenshotting.
48,Labs,VERIFIED,high,"Official Personal Plan docs: in-course labs are guided hands-on tasks in secure pre-configured environments with a companion workspace, available to eligible subscriptions (Personal Plan) — confirming the subscription gating in the sheet.",https://support.udemy.com/hc/en-us/articles/36212876902679-In-course-labs ; https://support.udemy.com/hc/en-us/articles/36212881490839-Personal-Plan-Labs-and-Workspaces,https://support.udemy.com/hc/en-us/articles/36212876902679-In-course-labs,labs,
49,Coding exercises,VERIFIED,high,"Official ""Learning With Coding Exercises"" article: interactive in-browser coding practice inside programming courses; many languages (C++, C#, Java, Python, Ruby, Swift, PHP, React 18) with a ""Run code"" button in Python.",https://support.udemy.com/hc/en-us/articles/229606768-Learning-With-Coding-Exercises ; https://teach.udemy.com/whats-new-with-coding-exercises/,https://support.udemy.com/hc/en-us/articles/229606768-Learning-With-Coding-Exercises,coding exercises,
50,Quizzes (in-course),VERIFIED,high,"Official instructor docs: multiple-choice/multiple-selection/fill-in-the-blank quizzes instructors build per course for self-assessment — course-dependent, as the sheet says.",https://support.udemy.com/hc/en-us/articles/229231627-Create-a-Multiple-Choice-Quiz ; https://teach.udemy.com/course-creation/plan-your-practice-activities/,https://support.udemy.com/hc/en-us/articles/229231627-Create-a-Multiple-Choice-Quiz,quiz,
51,Assignments (in-course),VERIFIED,high,"Official docs: instructor-built assignments with text/video instructions, downloadable resources, draft saving, instructor feedback and peer comparison — course-dependent.",https://support.udemy.com/hc/en-us/articles/115000340668-Assignments-Apply-Your-Knowledge-and-Improve-the-Skills-You-ve-Learned-With-Udemy ; https://support.udemy.com/hc/en-us/articles/115008174307-How-to-Create-Assignments-For-Your-Course,https://support.udemy.com/hc/en-us/articles/115000340668-Assignments-Apply-Your-Knowledge-and-Improve-the-Skills-You-ve-Learned-With-Udemy,assignment,
52,Certification exam practice tests,VERIFIED,high,"Official docs: practice tests mirror certification exams with untimed Practice mode and timed Exam mode; sold as standalone practice-test courses (AWS, Azure, CompTIA pages live) and included in Personal Plan — matching the sheet's dual availability.",https://support.udemy.com/hc/en-us/articles/10985362294551-Taking-Practice-Tests ; https://www.udemy.com/browse/certification/ ; https://www.udemy.com/course/practice-exams-aws-certified-cloud-practitioner/,https://www.udemy.com/browse/certification/,practice test,
