sheet_row,feature,status,confidence,evidence,sources,screenshot_url,screenshot_target,caveats
6,Coursera Coach — in-course Q&A,VERIFIED,high,"Coursera Coach answers learner questions about course content inside courses; official help-center article ""Advance your learning with Coursera AI"" describes on-demand Q&A, and third-party reviews confirm Content Q&A across 7,000+ courses.",https://www.coursera.support/s/article/learner-000002224 ; https://aisuggests.ai/tool/coursera-coach ; https://skillsetcourse.com/tools/coursera-coach,https://www.coursera.org/explore/coach,Coursera Coach,
7,Coursera Coach — video & reading summaries,VERIFIED,high,"Coach ""provides quick video lecture summaries and resources""; help center: ask Coursera AI to ""summarize key points from lectures or readings you've completed"".",https://www.coursera.support/s/article/learner-000002224 ; https://blog.coursera.org/new-products-tools-and-features-2023,https://www.coursera.org/explore/coach,summar,
8,Coursera Coach — assignment feedback,VERIFIED,medium,"Coach reviews describe ""personalized feedback on assignments""; Coursera blog documents AI Grading in Peer Reviews giving immediate rubric-based feedback; Role Play activities end with feedback from Coursera AI.",https://aisuggests.ai/tool/coursera-coach ; https://blog.coursera.org/ai-grading-in-peer-reviews-enhancing-courseras-learning-experience-with-faster-high-quality-feedback/ ; https://www.coursera.support/s/article/learner-000002340,https://www.coursera.org/explore/coach,feedback,
9,Coursera Coach — next-skill suggestions,VERIFIED,medium,"Coach ""suggests related skills to build"" (Skills suggestions listed as a core Coach capability); Coursera blog: Coach identifies transferable skills and recommends tailored learning paths.",https://aisuggests.ai/tool/coursera-coach ; https://blog.coursera.org/announcing-ai-powered-capabilities-enabling-educators-to-use-coursera-coach-to-deliver-interactive-personalized-instruction,https://www.coursera.org/explore/coach,skills,
10,Coach interactive instruction — Socratic dialogue mode,VERIFIED,high,"Coursera blog announcement: educators use Coach (Gemini-powered) for immersive activities ""starting with Socratic dialogue""; U-M launched the first such course; dialogues trained on course material with instructor-configured rubrics.",https://blog.coursera.org/announcing-ai-powered-capabilities-enabling-educators-to-use-coursera-coach-to-deliver-interactive-personalized-instruction ; https://news.umich.edu/u-m-launches-ai-powered-coursera-coach-for-interactive-instruction,https://blog.coursera.org/announcing-ai-powered-capabilities-enabling-educators-to-use-coursera-coach-to-deliver-interactive-personalized-instruction,Socratic,
11,Coach interactive instruction — role-based practice,VERIFIED,high,"Official help article ""Practice your skills with Role Play"": ungraded conversational practice with an AI persona (sales pitch, client consultation, job interview) with AI feedback afterward.",https://www.coursera.support/s/article/learner-000002340 ; https://www.edtechinnovationhub.com/news/coursera-unveils-new-ai-tools-designed-to-boost-workforce-and-campus-learning,https://www.coursera.support/s/article/learner-000002340,Role Play,
12,Coach interactive instruction — career-guidance conversations,VERIFIED,medium,"Coursera blog/news: Coach helps learners explore career paths, identify transferable skills, and get tailored learning-path recommendations; ""Why was this recommended for me"" opens a Coach conversation.",https://blog.coursera.org/announcing-ai-powered-capabilities-enabling-educators-to-use-coursera-coach-to-deliver-interactive-personalized-instruction ; https://blog.coursera.org/from-catalog-to-compass,https://blog.coursera.org/from-catalog-to-compass,career,
13,AI-graded assignments,VERIFIED,high,"Live course pages display an ""AI Graded — see disclaimer"" tag in the Assessments section (e.g. ""Integrate AI Insights"", ""AI for Education"" courses); Coursera blog documents AI Grading in Peer Reviews using instructor rubrics.",https://blog.coursera.org/ai-grading-in-peer-reviews-enhancing-courseras-learning-experience-with-faster-high-quality-feedback/ ; https://www.coursera.org/learn/ai-for-education-advanced,https://www.coursera.org/learn/ai-for-education-advanced,AI Graded,
14,AI-translated courses & subtitles,VERIFIED,high,"Coursera blogs: AI-powered translations expanded to 17 popular languages covering 4,000+ courses/600+ Specializations; ~4,000 courses translated into Hindi; nearly 3M learners across 5,000+ courses in 25 languages; GenAI dubbing for 100+ courses. Sheet's ""20+ languages, thousands of courses"" is consistent.",https://blog.coursera.org/coursera-expands-ai-powered-translations-to-17-popular-languages ; https://blog.coursera.org/coursera-launches-ai-dubbed-courses-in-spanish-french-brazilian-portuguese-and-german ; https://indiaai.gov.in/news/coursera-translates-4-000-courses-in-hindi-using-generative-ai,https://blog.coursera.org/coursera-expands-ai-powered-translations-to-17-popular-languages,languages,
15,Personalized recommendations,VERIFIED,high,"Coursera blog ""From catalog to compass"": sign-up career quiz drives personalized content recommendations plus a top recommendation, with Coach explaining why; learners receiving personalized recommendations enroll more.",https://blog.coursera.org/from-catalog-to-compass ; https://www.coursera.org/resources/career-quiz,https://blog.coursera.org/from-catalog-to-compass,recommend,
