sheet_row,feature,status,confidence,evidence,sources,screenshot_url,screenshot_target,caveats
71,AI coaching — conversational career & management advice,VERIFIED,high,"Official LinkedIn Learning page ""Introducing LinkedIn Learning's AI-Powered Coaching"": conversational chatbot giving personalized real-time advice and content recommendations based on job title, career goals and followed skills; available to all Premium subscribers in English. 76% of learners report it helped build marketable skills.",https://learning.linkedin.com/resources/learner-engagement/linkedin-learning-ai-powered-coaching ; https://www.fastcompany.com/91140100/linkedin-learning-adds-more-ai-powered-coaching-features ; https://www.forbes.com/sites/ruthgotian/2024/06/16/linkedin-and-ai-powered-coaching/,https://learning.linkedin.com/resources/learner-engagement/linkedin-learning-ai-powered-coaching,AI-powered coaching,
72,AI coaching — in-course Q&A,VERIFIED,high,"Learners ""pose clarifying questions directly within the course, receiving real-time insights and takeaways on the course pages"" (official coaching page and university deployment guides).",https://learning.linkedin.com/resources/learner-engagement/linkedin-learning-ai-powered-coaching ; https://ai.uc.edu/ai-tools/linkedin-learning-ai-powered-tools,https://learning.linkedin.com/resources/learner-engagement/linkedin-learning-ai-powered-coaching,clarifying questions,
73,AI coaching — content summaries,VERIFIED,high,"""Learners can ask for content summaries"" inside courses — documented on the official AI-powered coaching page and university library guides for the feature.",https://learning.linkedin.com/resources/learner-engagement/linkedin-learning-ai-powered-coaching ; https://guides.library.uq.edu.au/tools-and-techniques/linkedin-learning/using-ai-features,https://learning.linkedin.com/resources/learner-engagement/linkedin-learning-ai-powered-coaching,summaries,
74,AI coaching — practice scenarios with AI feedback,VERIFIED,high,Interactive practice/role-play with AI-powered coaching: speak or type with a customizable AI personality that responds dynamically; after each session learners receive feedback grounded in the transcript plus tailored content.,https://learning.linkedin.com/resources/learner-engagement/linkedin-learning-ai-powered-coaching ; https://hr.arizona.edu/news/2025/master-difficult-workplace-conversations-linkedin-learnings-ai-coaching,https://learning.linkedin.com/resources/learner-engagement/linkedin-learning-ai-powered-coaching,practice,
75,Personalized recommendations (Skills Graph),VERIFIED,high,"LinkedIn Engineering blog documents the Skills Graph (39,000-skill taxonomy on the Economic Graph) powering personalization; recommendations driven by profile data, stated goals, followed skills and behavior, with questionnaire/inferred-skills cold-start handling.",https://engineering.linkedin.com/blog/2023/extracting-skills-from-content-to-fuel-the-linkedin-skills-graph ; https://engineering.linkedin.com/blog/2016/12/personalized-recommendations-in-linkedin-learning,https://www.linkedin.com/learning/,Recommended,
76,"Full course library (25,000+ courses)",VERIFIED,high,"Official linkedin.com/learning states 26,100+ courses and Learning Paths with dozens added weekly — consistent with (slightly above) the sheet's 25,000+ figure. Free LinkedIn gets only limited/promotional access; the library is a Premium/Learning-subscription feature.",https://www.linkedin.com/learning/ ; https://learning.linkedin.com/content-library,https://www.linkedin.com/learning/,courses,"Official count is now 26,100+ (includes Learning Paths); refresh the sheet number."
77,Learning paths & role-based content,VERIFIED,high,"Learning Paths (curated course sequences) are a core catalog object (linkedin.com/learning/paths); Role Guides cover 35+ roles with 1,300+ hand-curated pathways mapping content to job roles.",https://www.linkedin.com/learning/paths ; https://www.cu.edu/blog/work-life/new-linkedin-learning-role-guides-lay-out-learning-paths-career-advancement,https://www.linkedin.com/learning/paths,Learning Path,
78,Localized course libraries,PARTIALLY VERIFIED,medium,"Localized libraries are real — 90%+ original native-speaker courses with localized UI — but LinkedIn's own help doc lists 13 course languages (English, German, Spanish, French, Brazilian Portuguese, Japanese, Mandarin, Dutch, Italian, Turkish, Polish, Korean, Bahasa Indonesia), not the sheet's ""20+"". Machine-translated subtitles extend beyond 13, which may be the source of the higher count.",https://www.linkedin.com/help/learning/answer/a702837/supported-languages-for-linkedin-learning-course-videos ; https://www.linkedin.com/business/learning/blog/new-courses/linkedin-learnings-newest-addition-4-000-new-courses-across-4-l,https://www.linkedin.com/help/learning/answer/a702837/supported-languages-for-linkedin-learning-course-videos,languages,Sheet says 20+ languages; official course-language list is 13. Recheck what the 20+ referred to (likely subtitle languages).
79,Certificates of completion (profile-integrated),VERIFIED,high,"Official help: completed courses/paths add a Certificate of Completion and associated skills directly to the LinkedIn profile from Learning History (""Add to profile""), with optional network sharing — the deep profile integration the sheet highlights.",https://www.linkedin.com/help/linkedin/answer/a704787/add-learning-certificates-of-completion-and-skills-to-your-linkedin-profile ; https://www.linkedin.com/help/learning/answer/a700836,https://www.linkedin.com/help/linkedin/answer/a704787/add-learning-certificates-of-completion-and-skills-to-your-linkedin-profile,Add to profile,
80,CEU/CPE credits (select courses),VERIFIED,high,"Official continuing-education program: NASBA-registered CPE sponsor, PMI Authorized Training Partner (600+ courses, 650+ PDUs), SHRM-recognized PDC provider (60 activities); dedicated CEU topic page and partner directory.",https://learning.linkedin.com/certifications-and-credentials ; https://www.linkedin.com/help/learning/answer/a598950/ ; https://www.linkedin.com/help/learning/answer/a706053/,https://learning.linkedin.com/certifications-and-credentials,Continuing Education,
